non_sign_count_rmann_whitney,non_sign_count_rt_test,sign_count_rmann_whitney,sign_count_rt_test,non_sign_share_rmann_whitney,non_sign_share_rt_test,sign_share_rmann_whitney,sign_share_rt_test,n_largest_rmann_whitney,n_largest_rt_test,n_smallest_rmann_whitney,n_smallest_rt_test,non_sign_list_rmann_whitney,non_sign_list_rt_test,sign_list_rmann_whitney,sign_list_rt_test
4.0,4.0,1.0,0.0,0.5714285714285714,0.5714285714285714,0.14285714285714285,0.0,"[[0.9740940047215686 'L5FS']
 [0.3713330408640515 'L2IN']
 [0.15424683570022824 'L5PC']]","[[0.3839597198423589 'L2IN']
 [0.34018427347256197 'L5PC']
 [0.11090571929398621 'L5FS']]","[[1.0491063610838391e-17 'CA1PC']
 [0.0003290246043385697 'L5IN']
 [0.0004455306700784982 'L2PC']]","[[1.87051864233824e-26 'CA1PC']
 [0.0018507939568666277 'L2PC']
 [0.00576009887947332 'L5IN']]","['L2PC', 'L5IN', 'Amygdala', 'CA1PC']","['L2PC', 'L5IN', 'Amygdala', 'CA1PC']",['L5FS'],[]
5.0,5.0,1.0,0.0,0.7142857142857143,0.7142857142857143,0.14285714285714285,0.0,"[[0.8189110714810687 'L2IN']
 [0.20090495458153634 'L5FS']
 [0.019567037633257112 'L2PC']]","[[0.7723817372904529 'L2IN']
 [0.4926852491777147 'L5FS']
 [0.02724904342913707 'L5PC']]","[[9.883004570561928e-16 'CA1PC']
 [4.375917772232186e-06 'L5IN']
 [0.0009640696174946518 'Amygdala']]","[[2.718248467642283e-20 'CA1PC']
 [0.00013236402659680993 'L5IN']
 [0.009273024973592019 'Amygdala']]","['L5PC', 'L2PC', 'L5IN', 'Amygdala', 'CA1PC']","['L5PC', 'L2PC', 'L5IN', 'Amygdala', 'CA1PC']",['L2IN'],[]
5.0,5.0,1.0,1.0,0.7142857142857143,0.7142857142857143,0.14285714285714285,0.14285714285714285,"[[0.9869525608771202 'L2IN']
 [0.05600813479753523 'L5FS']
 [0.006954931064277752 'L2PC']]","[[0.8345850193667386 'L2IN']
 [0.08051046365746727 'L5FS']
 [0.011686105333590407 'L2PC']]","[[4.399390587138539e-15 'CA1PC']
 [8.582185092995006e-05 'L5IN']
 [0.0009226382979320988 'Amygdala']]","[[9.000542435719969e-19 'CA1PC']
 [0.00023644459170428714 'L5PC']
 [0.0009057411426856318 'L5IN']]","['L5PC', 'L2PC', 'L5IN', 'Amygdala', 'CA1PC']","['L5PC', 'L2PC', 'L5IN', 'Amygdala', 'CA1PC']",['L2IN'],['L2IN']
1.0,2.0,0.0,0.0,0.14285714285714285,0.2857142857142857,0.0,0.0,"[[0.579347211552514 'L2IN']
 [0.4117028117268058 'L2PC']
 [0.3219635808103901 'L5FS']]","[[0.7096813879726351 'L2IN']
 [0.511961127738332 'L2PC']
 [0.3927861400560392 'CA1PC']]","[[0.014288107026293734 'Amygdala']
 [0.05454858367238446 'CA1PC']
 [0.06907964597603093 'L5IN']]","[[0.03512413018895374 'Amygdala']
 [0.049564669446877124 'L5IN']
 [0.28417613241614925 'L5FS']]",['Amygdala'],"['L5IN', 'Amygdala']",[],[]
4.0,4.0,1.0,0.0,0.5714285714285714,0.5714285714285714,0.14285714285714285,0.0,"[[0.9740940047215686 'L5FS']
 [0.3713330408640515 'L2IN']
 [0.15424683570022824 'L5PC']]","[[0.3839597198423589 'L2IN']
 [0.34018427347256197 'L5PC']
 [0.11090571929398621 'L5FS']]","[[1.0491063610838391e-17 'CA1PC']
 [0.0003290246043385697 'L5IN']
 [0.0004455306700784982 'L2PC']]","[[1.87051864233824e-26 'CA1PC']
 [0.0018507939568666277 'L2PC']
 [0.00576009887947332 'L5IN']]","['L2PC', 'L5IN', 'Amygdala', 'CA1PC']","['L2PC', 'L5IN', 'Amygdala', 'CA1PC']",['L5FS'],[]
5.0,5.0,1.0,0.0,0.7142857142857143,0.7142857142857143,0.14285714285714285,0.0,"[[0.8189110714810687 'L2IN']
 [0.20090495458153634 'L5FS']
 [0.019567037633257112 'L2PC']]","[[0.7723817372904529 'L2IN']
 [0.4926852491777147 'L5FS']
 [0.02724904342913707 'L5PC']]","[[9.883004570561928e-16 'CA1PC']
 [4.375917772232186e-06 'L5IN']
 [0.0009640696174946518 'Amygdala']]","[[2.718248467642283e-20 'CA1PC']
 [0.00013236402659680993 'L5IN']
 [0.009273024973592019 'Amygdala']]","['L5PC', 'L2PC', 'L5IN', 'Amygdala', 'CA1PC']","['L5PC', 'L2PC', 'L5IN', 'Amygdala', 'CA1PC']",['L2IN'],[]
5.0,5.0,1.0,1.0,0.7142857142857143,0.7142857142857143,0.14285714285714285,0.14285714285714285,"[[0.9869525608771202 'L2IN']
 [0.05600813479753523 'L5FS']
 [0.006954931064277752 'L2PC']]","[[0.8345850193667386 'L2IN']
 [0.08051046365746727 'L5FS']
 [0.011686105333590407 'L2PC']]","[[4.399390587138539e-15 'CA1PC']
 [8.582185092995006e-05 'L5IN']
 [0.0009226382979320988 'Amygdala']]","[[9.000542435719969e-19 'CA1PC']
 [0.00023644459170428714 'L5PC']
 [0.0009057411426856318 'L5IN']]","['L5PC', 'L2PC', 'L5IN', 'Amygdala', 'CA1PC']","['L5PC', 'L2PC', 'L5IN', 'Amygdala', 'CA1PC']",['L2IN'],['L2IN']
1.0,0.0,0.0,0.0,0.14285714285714285,0.0,0.0,0.0,"[[0.5930418614213933 'L5FS']
 [0.58003160599876 'L5IN']
 [0.5369819464343187 'CA1PC']]","[[0.3998638629133804 'L2IN']
 [0.3692435708971066 'L2PC']
 [0.15907634710577243 'Amygdala']]","[[0.035366197435675865 'L2PC']
 [0.06996453870651217 'L2IN']
 [0.47012795068843705 'Amygdala']]","[[0.1590280115532759 'L5FS']
 [0.15903222219920296 'L5IN']
 [0.15904757435908162 'CA1PC']]",['L2PC'],[],[],[]
4.0,2.0,0.0,0.0,0.5714285714285714,0.2857142857142857,0.0,0.0,"[[0.6160701476194275 'Amygdala']
 [0.5632396668675834 'L2PC']
 [0.07530567169093433 'L5IN']]","[[0.6708056069249824 'L5IN']
 [0.5060933340138589 'L2IN']
 [0.4016894466939138 'Amygdala']]","[[0.00011719399795883253 'L5FS']
 [0.01498314661222639 'CA1PC']
 [0.016753552166414217 'L5PC']]","[[2.359782319646432e-10 'CA1PC']
 [0.00010918445619544742 'L5FS']
 [0.08940063214208574 'L5PC']]","['L5FS', 'L2IN', 'L5PC', 'CA1PC']","['L5FS', 'CA1PC']",[],[]
4.0,2.0,0.0,0.0,0.5714285714285714,0.2857142857142857,0.0,0.0,"[[0.6900405971242527 'L2PC']
 [0.6481676318952401 'Amygdala']
 [0.49511144319827405 'L5IN']]","[[0.6028075801632982 'Amygdala']
 [0.29281345206125686 'L2PC']
 [0.25739409259846396 'L5FS']]","[[9.296169890353455e-07 'L2IN']
 [5.84380446762332e-05 'L5PC']
 [0.026702854994789263 'CA1PC']]","[[8.79847921355825e-07 'L2IN']
 [0.00026711697651153247 'CA1PC']
 [0.13479129604280377 'L5PC']]","['L5FS', 'L2IN', 'L5PC', 'CA1PC']","['L2IN', 'CA1PC']",[],[]
