,feature_value,id,cell_group_in_pc,feature
77,-17.058066953770954,121_1,IN,apwaveform_first_AP_voltage_stim_100
121,-11.608124633029568,176_1,IN,apwaveform_first_AP_voltage_stim_140
121,-11.611874782039916,176_1,IN,apwaveform_first_AP_voltage_stim_180
51,-16.231249900593653,103_1,IN,apwaveform_first_AP_voltage_stim_220
121,-8.463751960942611,176_1,IN,apwaveform_first_AP_voltage_stim_220
36,-17.863750387328253,88_1,FS,apwaveform_second_AP_voltage_stim_140
91,-19.532750840116783,127_1,PC,apwaveform_second_AP_voltage_stim_140
92,-19.532750840116783,128_1,PC,apwaveform_second_AP_voltage_stim_140
93,-19.532750840116783,129_1,PC,apwaveform_second_AP_voltage_stim_140
121,-12.582499505525892,176_1,IN,apwaveform_second_AP_voltage_stim_140
51,-19.94260861858136,103_1,IN,apwaveform_second_AP_voltage_stim_180
58,-18.74678486184471,109_1,PC,apwaveform_second_AP_voltage_stim_180
91,-17.745171963040814,127_1,PC,apwaveform_second_AP_voltage_stim_180
92,-17.745171963040814,128_1,PC,apwaveform_second_AP_voltage_stim_180
93,-17.745171963040814,129_1,PC,apwaveform_second_AP_voltage_stim_180
121,-7.4216668031713136,176_1,IN,apwaveform_second_AP_voltage_stim_180
51,-15.024605847563874,103_1,IN,apwaveform_second_AP_voltage_stim_220
58,-18.38099950230002,109_1,PC,apwaveform_second_AP_voltage_stim_220
64,-19.78946361198801,113_1,PC,apwaveform_second_AP_voltage_stim_220
91,-16.845257037660193,127_1,PC,apwaveform_second_AP_voltage_stim_220
92,-16.845257037660193,128_1,PC,apwaveform_second_AP_voltage_stim_220
93,-16.845257037660193,129_1,PC,apwaveform_second_AP_voltage_stim_220
121,-2.083522692238622,176_1,IN,apwaveform_second_AP_voltage_stim_220
132,-17.60566863145384,186_1,Amygdala,apwaveform_second_AP_voltage_stim_220
121,-16.482812323076484,176_1,IN,idrest_first_AP_voltage_stim_100
77,-17.552006415750423,121_1,IN,idrest_first_AP_voltage_stim_125
121,-14.204128066802946,176_1,IN,idrest_first_AP_voltage_stim_125
77,-18.77887989919348,121_1,IN,idrest_first_AP_voltage_stim_150
121,-14.593165309928,176_1,IN,idrest_first_AP_voltage_stim_150
121,-13.658333356194682,176_1,IN,idrest_first_AP_voltage_stim_175
51,-18.28864491427105,103_1,IN,idrest_first_AP_voltage_stim_200
121,-12.588179813861966,176_1,IN,idrest_first_AP_voltage_stim_200
51,-15.236563716641196,103_1,IN,idrest_first_AP_voltage_stim_225
121,-9.39687535924067,176_1,IN,idrest_first_AP_voltage_stim_225
132,-17.53633467298835,186_1,Amygdala,idrest_first_AP_voltage_stim_225
51,-12.139550710945835,103_1,IN,idrest_first_AP_voltage_stim_250
121,-6.673749906879627,176_1,IN,idrest_first_AP_voltage_stim_250
132,-14.6847965724114,186_1,Amygdala,idrest_first_AP_voltage_stim_250
51,-10.947778615734094,103_1,IN,idrest_first_AP_voltage_stim_275
121,-4.214583231879183,176_1,IN,idrest_first_AP_voltage_stim_275
132,-8.346030617762882,186_1,Amygdala,idrest_first_AP_voltage_stim_275
51,-6.893563360849237,103_1,IN,idrest_first_AP_voltage_stim_300
121,-1.7795453568637587,176_1,IN,idrest_first_AP_voltage_stim_300
132,-8.123625038995584,186_1,Amygdala,idrest_first_AP_voltage_stim_300
121,-17.118749717271832,176_1,IN,idrest_second_AP_voltage_stim_100
77,-16.938343953425683,121_1,IN,idrest_second_AP_voltage_stim_125
91,-18.010370464131466,127_1,PC,idrest_second_AP_voltage_stim_125
92,-18.010370464131466,128_1,PC,idrest_second_AP_voltage_stim_125
93,-18.010370464131466,129_1,PC,idrest_second_AP_voltage_stim_125
121,-13.677801787652712,176_1,IN,idrest_second_AP_voltage_stim_125
